algorithm,bundle,seed,eval_budget,best_obj,actual_evals,candidate_scores,repair_delta_count,operator_base_id,control_mode,violation_count,feasible,solution_signature_hash,operator_counts,destroy_counts,repair_counts,q_ratio_counts,worker_python_executable,worker_python_version,worker_numpy_version,elapsed_seconds,runtime_target_seconds,model_label,checkpoint_update,eval_mode,bundle_role,selection_mode,meta_q_ratio,meta_threshold_ratio,meta_exploration_ratio
block_meta_best,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1,13100,3574.9768864345897,13100,13100,5065467,winner_kernel_v1,block_ppo,0,1,25508c3c30da3a574ebfb063b2bbb6f6850d23f54485fbd45b3e9709e9650713,{},"{""alpha_ucb"":410}","{""alpha_ucb"":410}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1837.2691662000143,900.0,checkpoint_0030,30,budget,train,block_meta_masked,,,
best_static_meta,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1,13100,3544.0084426636226,13100,13100,2986485,winner_kernel_v1,block_ppo,0,1,9e82e130b5351f1ff91359f72b7cae8934b1ae9afcff5684ce6946a16a02d679,{},"{""random_customer_removal"":10,""route_segment_removal"":9,""shaw_related_removal"":5,""vehicle_type_swap"":349,""whole_route_removal"":25,""worst_customer_removal"":12}","{""greedy_insert_repair"":353,""regret2_insert_repair"":29,""regret3_insert_repair"":28}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1113.0220233,900.0,best_static_meta,,budget,train,alpha_ucb_meta,0.4,0.0025,0.15
block_meta_best,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2,13100,3619.210280836262,13100,13100,5880001,winner_kernel_v1,block_ppo,0,1,0aea59cc111af8f7374a3623d1b41c74d0b5b74d6b85ca11269cf26864596faa,{},"{""alpha_ucb"":410}","{""alpha_ucb"":410}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1894.7959074000246,900.0,checkpoint_0030,30,budget,train,block_meta_masked,,,
best_static_meta,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2,13100,3654.385586336664,13100,13100,3685554,winner_kernel_v1,block_ppo,0,1,f0d7bf664acfd23377e81b96d300c78c4487e29db6fcba1481cd2d3487f6e044,{},"{""random_customer_removal"":14,""route_segment_removal"":7,""shaw_related_removal"":10,""vehicle_type_swap"":362,""whole_route_removal"":12,""worst_customer_removal"":5}","{""greedy_insert_repair"":370,""regret2_insert_repair"":22,""regret3_insert_repair"":18}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1125.5659638999496,900.0,best_static_meta,,budget,train,alpha_ucb_meta,0.4,0.0025,0.15
block_meta_best,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,3,13100,3665.9411048292654,13100,13100,5489920,winner_kernel_v1,block_ppo,0,1,61ae2ee422b16efd576c019548b78275ecb8c652e4683915c77b455b4f3e033e,{},"{""alpha_ucb"":410}","{""alpha_ucb"":410}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1700.252370000002,900.0,checkpoint_0030,30,budget,train,block_meta_masked,,,
best_static_meta,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,3,13100,3649.7896503444426,13100,13100,3350899,winner_kernel_v1,block_ppo,0,1,a1c1af81a42e038bd55efc5b15726add8d2fe1b75aa3e4d0379180e0da2724bc,{},"{""random_customer_removal"":18,""route_segment_removal"":4,""shaw_related_removal"":8,""vehicle_type_swap"":328,""whole_route_removal"":44,""worst_customer_removal"":8}","{""greedy_insert_repair"":367,""regret2_insert_repair"":23,""regret3_insert_repair"":20}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1141.0198564999737,900.0,best_static_meta,,budget,train,alpha_ucb_meta,0.4,0.0025,0.15
block_meta_best,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,13100,3565.2815082580146,13100,13100,5416773,winner_kernel_v1,block_ppo,0,1,2342cd26e1c0ebb04d8f7525c0c325b58bede448f6b633b293138cac112e04b6,{},"{""alpha_ucb"":410}","{""alpha_ucb"":410}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1829.767058300029,900.0,checkpoint_0030,30,budget,train,block_meta_masked,,,
best_static_meta,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,13100,3559.0927351656246,13100,13100,2970291,winner_kernel_v1,block_ppo,0,1,ba5f2bf23103a25c73964fdf5c91d5be39e32ed8901fb68557c9f082cb6b9565,{},"{""random_customer_removal"":16,""route_segment_removal"":6,""shaw_related_removal"":8,""vehicle_type_swap"":329,""whole_route_removal"":38,""worst_customer_removal"":13}","{""greedy_insert_repair"":337,""regret2_insert_repair"":50,""regret3_insert_repair"":23}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1096.8639003999997,900.0,best_static_meta,,budget,train,alpha_ucb_meta,0.4,0.0025,0.15
block_meta_best,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5,13100,3542.6563823217602,13100,13100,5545539,winner_kernel_v1,block_ppo,0,1,c6abb7210d984e64c253a40d40c249ca7cb8ff52876d5c5afea55e2d8681bc10,{},"{""alpha_ucb"":410}","{""alpha_ucb"":410}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1766.3440856000525,900.0,checkpoint_0030,30,budget,train,block_meta_masked,,,
best_static_meta,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5,13100,3667.563508479792,13100,13100,2905840,winner_kernel_v1,block_ppo,0,1,d13bdefac4c11b8ec41831c3d38e5ece49c074e27ae8d051d282aacf0e7783ee,{},"{""random_customer_removal"":10,""route_segment_removal"":15,""shaw_related_removal"":11,""vehicle_type_swap"":319,""whole_route_removal"":44,""worst_customer_removal"":11}","{""greedy_insert_repair"":359,""regret2_insert_repair"":26,""regret3_insert_repair"":25}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1089.2195149000036,900.0,best_static_meta,,budget,train,alpha_ucb_meta,0.4,0.0025,0.15
block_meta_final,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1,13100,3573.1601713929654,13100,13100,3237095,winner_kernel_v1,block_ppo,0,1,e938fdcd6cbe86fed7bbe69b6a8de7659427ce251f84cf83117ad3735d23c75b,{},"{""alpha_ucb"":410}","{""alpha_ucb"":410}","{""0.300000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1217.9751182000036,900.0,final,595,budget,train,block_meta_masked,,,
alpha_ucb_block,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1,13100,3722.9234637189716,13100,13100,198790,winner_kernel_v1,block_ppo,0,1,3655ab2150880659bf1931af7ab48e5ff0ef55bcfa70589117aa7c091d6d6444,{},"{""route_segment_removal"":312,""shaw_related_removal"":1,""vehicle_type_swap"":36,""whole_route_removal"":57,""worst_customer_removal"":4}","{""greedy_insert_repair"":96,""regret2_insert_repair"":2,""regret3_insert_repair"":312}","{""0.160000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,316.3701134000439,900.0,,-1,budget,train,,,,
random_block,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1,13100,3580.9189370813037,13100,13100,5044732,winner_kernel_v1,block_ppo,0,1,1a12ca8249d08ac6b432a3ad08a239ea4d6eee9f3a0f8cbfe09d43e4cd4f74f8,{},"{""random_customer_removal"":50,""route_segment_removal"":33,""shaw_related_removal"":51,""vehicle_type_swap"":149,""whole_route_removal"":79,""worst_customer_removal"":48}","{""greedy_insert_repair"":195,""regret2_insert_repair"":108,""regret3_insert_repair"":107}","{""0.100000"":85,""0.160000"":72,""0.230000"":83,""0.300000"":89,""0.400000"":81}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1735.1254647999885,900.0,,-1,budget,train,,,,
scikit-opt-SA,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1,1000000,3663.119391783501,101003,101003,0,,fair_sa_timed,0,1,0e2c2731df83d2138cfc3a038975af23c71c1d63cb46a0f8f538ef20b4ca13e3,"{""sa_metropolis_path_move"":101003}",{},{},{},C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,902.3366918999818,900.0,,-1,timed,train,,,,
official_winner_kernel,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1,1000000,3849.206291963285,54268,54268,0,winner_kernel_v1,official_kernel,0,1,56966c543aedb5ee384d68a66b279860df4ef52faa1ecf12c0e754cc4ef9ac49,{},{},{},{},C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,902.4200921999873,900.0,,-1,timed,train,,,,
block_meta_final,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2,13100,3694.996025922469,13100,13100,2896035,winner_kernel_v1,block_ppo,0,1,febd53241e444f3a75e1ce5f56c919707c092c6bea0e1a5838891d039873fc94,{},"{""alpha_ucb"":410}","{""alpha_ucb"":410}","{""0.300000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1119.1167065000045,900.0,final,595,budget,train,block_meta_masked,,,
alpha_ucb_block,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2,13100,3562.5768629259983,13100,13100,490479,winner_kernel_v1,block_ppo,0,1,225d5d1d94ad194f004892af830d11bb92d358c80549fcbd7ac59112b13ca93d,{},"{""route_segment_removal"":334,""shaw_related_removal"":20,""vehicle_type_swap"":40,""whole_route_removal"":9,""worst_customer_removal"":7}","{""greedy_insert_repair"":64,""regret2_insert_repair"":9,""regret3_insert_repair"":337}","{""0.160000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,369.8271524999873,900.0,,-1,budget,train,,,,
random_block,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2,13100,3596.042547422777,13100,13100,5188237,winner_kernel_v1,block_ppo,0,1,caf10d9911203cfee8bff84b7029d257f9c146e819942a4d57161d8aff9d2cb6,{},"{""random_customer_removal"":52,""route_segment_removal"":41,""shaw_related_removal"":37,""vehicle_type_swap"":172,""whole_route_removal"":57,""worst_customer_removal"":51}","{""greedy_insert_repair"":224,""regret2_insert_repair"":96,""regret3_insert_repair"":90}","{""0.100000"":88,""0.160000"":73,""0.230000"":78,""0.300000"":95,""0.400000"":76}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1833.0150904000038,900.0,,-1,budget,train,,,,
scikit-opt-SA,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2,1000000,3625.2049512775193,98915,98915,0,,fair_sa_timed,0,1,bb324a149dbce261bcfeefad8dd008a0992f9bc70570f5639c77ebb2ef5c770b,"{""sa_metropolis_path_move"":98915}",{},{},{},C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,902.420487699972,900.0,,-1,timed,train,,,,
official_winner_kernel,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,2,1000000,3573.7195780323286,39547,39547,0,winner_kernel_v1,official_kernel,0,1,2e4f096d95624f9361b8e97a46cb8ad8c99a25736c25ea0e3a7a6767d8d79bb2,{},{},{},{},C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,902.6550785999862,900.0,,-1,timed,train,,,,
block_meta_final,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,3,13100,3684.990768755391,13100,13100,4643283,winner_kernel_v1,block_ppo,0,1,d59be2a2658eae960c71450d7a9cf92ebaac36a9f6827f208c4d66bc7cf48ead,{},"{""alpha_ucb"":410}","{""alpha_ucb"":410}","{""0.300000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1012.1246398999938,900.0,final,595,budget,train,block_meta_masked,,,
alpha_ucb_block,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,3,13100,3704.832271520522,13100,13100,425688,winner_kernel_v1,block_ppo,0,1,9c1d7f520ec78d0f54a32e9ab4388cb55f4d74325fae1e461e039ff3d1693929,{},"{""route_segment_removal"":342,""shaw_related_removal"":18,""vehicle_type_swap"":43,""whole_route_removal"":3,""worst_customer_removal"":4}","{""greedy_insert_repair"":45,""regret2_insert_repair"":17,""regret3_insert_repair"":348}","{""0.160000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,378.94646010000724,900.0,,-1,budget,train,,,,
random_block,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,3,13100,3552.8122536411674,13100,13100,4312942,winner_kernel_v1,block_ppo,0,1,4c0f6a0e586e428c93dc7c9659dbf01b7d6a42b7bc2ac2bf31aea5fd8138fb7f,{},"{""random_customer_removal"":48,""route_segment_removal"":54,""shaw_related_removal"":51,""vehicle_type_swap"":169,""whole_route_removal"":41,""worst_customer_removal"":47}","{""greedy_insert_repair"":222,""regret2_insert_repair"":92,""regret3_insert_repair"":96}","{""0.100000"":85,""0.160000"":87,""0.230000"":80,""0.300000"":87,""0.400000"":71}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1531.3390252999961,900.0,,-1,budget,train,,,,
scikit-opt-SA,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,3,1000000,3718.6611965986563,109326,109326,0,,fair_sa_timed,0,1,0c77ac942b58b58dd2b118293f4836e9a39caabd592f47be34a5e4e3b348ac49,"{""sa_metropolis_path_move"":109326}",{},{},{},C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,902.3722116000135,900.0,,-1,timed,train,,,,
official_winner_kernel,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,3,1000000,3840.4841628758945,54889,54889,0,winner_kernel_v1,official_kernel,0,1,3c5c92be142980693e7eb7b936fc7f7d5e8be48db4dad6d70a7bfee1e458710f,{},{},{},{},C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,902.8093342999928,900.0,,-1,timed,train,,,,
block_meta_best,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,13100,3523.0076687900737,13100,13100,5148169,winner_kernel_v1,block_ppo,0,1,10795f107b9c3996069df24b7a47a06cc887294cb422405fc929bb330e14c75c,{},"{""alpha_ucb"":410}","{""alpha_ucb"":410}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1894.99032729998,900.0,checkpoint_0030,30,budget,held_out,block_meta_masked,,,
best_static_meta,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,13100,3541.7871535472746,13100,13100,2669769,winner_kernel_v1,block_ppo,0,1,9d2354f36a37ae3088471aea1acc08ac71e6c75a994b8822dddd01db6cbdff69,{},"{""random_customer_removal"":11,""route_segment_removal"":12,""shaw_related_removal"":10,""vehicle_type_swap"":344,""whole_route_removal"":21,""worst_customer_removal"":12}","{""greedy_insert_repair"":370,""regret2_insert_repair"":14,""regret3_insert_repair"":26}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1116.1458473000093,900.0,best_static_meta,,budget,held_out,alpha_ucb_meta,0.4,0.0025,0.15
block_meta_best,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,2,13100,3581.4715279077714,13100,13100,4839925,winner_kernel_v1,block_ppo,0,1,2c2d42eecf7e2d8e6c8eb73cdad4cfabf9c15779bc536861ac9924f7e96ec97d,{},"{""alpha_ucb"":410}","{""alpha_ucb"":410}","{""0.400000"":410}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1722.2372372000245,900.0,checkpoint_0030,30,budget,held_out,block_meta_masked,,,
