scale,algorithm,n,mean_best_obj,std_best_obj,min_best_obj,max_best_obj,mean_actual_evals,mean_elapsed_seconds,feasibility_rate
50,alpha_ucb_block,15,1692.8965365398838,70.92235900759275,1604.030331597096,1770.782166933431,20.0,0.957321499994335,1.0
50,alpha_ucb_meta_tuned,15,1692.8965365398838,70.92235900759275,1604.030331597096,1770.782166933431,20.0,1.8918954333212847,1.0
50,official_winner_kernel,9,1692.8965365398838,72.67379209565141,1604.030331597096,1770.782166933431,20.0,0.8566034777840186,1.0
50,ppo_block_best,15,1690.7855106672357,68.46316506071365,1604.030331597096,1764.4490893154866,8.0,1.8301162199893346,1.0
50,ppo_block_final,9,1690.7855106672355,70.1538681658898,1604.030331597096,1764.4490893154866,8.0,1.8342129555530846,1.0
50,random_block,9,1692.8965365398838,72.67379209565141,1604.030331597096,1770.782166933431,20.0,1.449109833351233,1.0
50,scikit-opt-SA,9,1772.900253634706,68.90599397708768,1688.4882105692388,1846.5175774925988,20.0,0.6904951444723539,1.0
75,alpha_ucb_block,15,2522.370753875535,99.1305011672757,2433.4889343022924,2655.3137279225875,20.0,1.6451021333457903,1.0
75,alpha_ucb_meta_tuned,15,2522.370753875535,99.1305011672757,2433.4889343022924,2655.3137279225875,20.0,3.6618864600313827,1.0
75,official_winner_kernel,9,2522.3707538755352,101.57853648659746,2433.4889343022924,2655.3137279225875,20.0,1.2963903999965016,1.0
75,ppo_block_best,15,2512.193985055305,84.55559835210111,2433.4889343022924,2624.7834214618983,9.333333333333334,4.274015673335331,1.0
75,ppo_block_final,9,2512.193985055305,86.64370533002347,2433.4889343022924,2624.7834214618983,9.333333333333334,4.342802522212474,1.0
75,random_block,9,2522.3707538755352,101.57853648659746,2433.4889343022924,2655.3137279225875,20.0,3.115984055549941,1.0
75,scikit-opt-SA,9,2601.881733401415,97.38720219420507,2515.46683089774,2732.803960039656,20.0,0.9543049888969917,1.0
100,alpha_ucb_block,15,3614.208135725562,295.11899777297947,3335.9368875298255,4006.04347550556,20.0,3.9448106000122305,1.0
100,alpha_ucb_meta_tuned,15,3614.208135725562,295.11899777297947,3335.9368875298255,4006.04347550556,20.0,8.318897813333509,1.0
100,official_winner_kernel,9,3614.208135725562,302.4069840279061,3335.9368875298255,4006.04347550556,20.0,2.2338678111167005,1.0
100,ppo_block_best,15,3573.9034433262273,238.19006239059408,3335.9368875298255,3885.1293983075557,8.0,9.35413953998747,1.0
100,ppo_block_final,9,3573.9034433262273,244.07218422572626,3335.9368875298255,3885.1293983075557,8.0,9.40617173334532,1.0
100,random_block,9,3614.208135725562,302.4069840279061,3335.9368875298255,4006.04347550556,20.0,6.557544477762551,1.0
100,scikit-opt-SA,9,3693.2908664468364,300.8147714986659,3414.0823618162367,4086.253616024695,20.0,1.8480254889000207,1.0
150,alpha_ucb_block,15,5239.909008271447,355.0954814469281,4977.822607359535,5724.523927285911,20.0,10.240944639996936,1.0
150,alpha_ucb_meta_tuned,15,5239.909008271447,355.0954814469281,4977.822607359535,5724.523927285911,20.0,23.511864759982565,1.0
150,official_winner_kernel,9,5239.909008271447,363.8645915601392,4977.822607359535,5724.523927285911,20.0,4.747215344441226,1.0
150,ppo_block_best,15,5183.266853744267,272.2997599063733,4977.822607359535,5554.597463704369,8.0,19.23905040664443,1.0
150,ppo_block_final,9,5183.266853744267,279.0242233343227,4977.822607359535,5554.597463704369,8.0,19.258258277796106,1.0
150,random_block,9,5239.909008271447,363.8645915601392,4977.822607359535,5724.523927285911,20.0,17.405198511072538,1.0
150,scikit-opt-SA,9,5318.149981836043,357.4912930749074,5059.001494485717,5803.553350198798,20.0,4.310172800013485,1.0
200,alpha_ucb_block,15,6471.247845328221,132.35935233388267,6290.600908184326,6568.75535772939,20.0,27.78419293333621,1.0
200,alpha_ucb_meta_tuned,15,6471.247845328221,132.35935233388267,6290.600908184326,6568.75535772939,20.0,57.99063876001164,1.0
200,official_winner_kernel,9,6471.24784532822,135.62797667795954,6290.600908184326,6568.75535772939,20.0,12.49669851107885,1.0
200,ppo_block_best,15,6448.049343623285,130.75458187396168,6270.563651828609,6554.387270070945,8.0,38.83930733998616,1.0
200,ppo_block_final,9,6448.0493436232855,133.98357628861186,6270.563651828609,6554.387270070945,8.0,39.52217124443915,1.0
200,random_block,9,6471.24784532822,135.62797667795954,6290.600908184326,6568.75535772939,20.0,44.76666898888329,1.0
200,scikit-opt-SA,9,6547.608161358698,140.45939083393733,6347.2233127168165,6648.691898004797,20.0,11.911811822223374,1.0
