scale,left_algorithm,baseline_algorithm,paired_n,wins,statistic,p_value,alternative,used_for_gate
50,ppo_block_best,alpha_ucb_block,15,5,15.0,0.012673659338734126,greater,True
50,ppo_block_best,alpha_ucb_meta_tuned,15,5,15.0,0.012673659338734126,greater,True
50,ppo_block_best,official_winner_kernel,9,3,6.0,0.0416322583317752,greater,True
50,ppo_block_best,ppo_block_final,9,0,,,greater,True
50,ppo_block_best,random_block,9,3,6.0,0.0416322583317752,greater,True
50,ppo_block_best,scikit-opt-SA,9,9,45.0,0.001953125,greater,True
75,ppo_block_best,alpha_ucb_block,15,5,15.0,0.012673659338734126,greater,True
75,ppo_block_best,alpha_ucb_meta_tuned,15,5,15.0,0.012673659338734126,greater,True
75,ppo_block_best,official_winner_kernel,9,3,6.0,0.0416322583317752,greater,True
75,ppo_block_best,ppo_block_final,9,0,,,greater,True
75,ppo_block_best,random_block,9,3,6.0,0.0416322583317752,greater,True
75,ppo_block_best,scikit-opt-SA,9,9,45.0,0.001953125,greater,True
100,ppo_block_best,alpha_ucb_block,15,5,15.0,0.012673659338734126,greater,True
100,ppo_block_best,alpha_ucb_meta_tuned,15,5,15.0,0.012673659338734126,greater,True
100,ppo_block_best,official_winner_kernel,9,3,6.0,0.0416322583317752,greater,True
100,ppo_block_best,ppo_block_final,9,0,,,greater,True
100,ppo_block_best,random_block,9,3,6.0,0.0416322583317752,greater,True
100,ppo_block_best,scikit-opt-SA,9,9,45.0,0.001953125,greater,True
150,ppo_block_best,alpha_ucb_block,15,5,15.0,0.012673659338734126,greater,True
150,ppo_block_best,alpha_ucb_meta_tuned,15,5,15.0,0.012673659338734126,greater,True
150,ppo_block_best,official_winner_kernel,9,3,6.0,0.0416322583317752,greater,True
150,ppo_block_best,ppo_block_final,9,0,,,greater,True
150,ppo_block_best,random_block,9,3,6.0,0.0416322583317752,greater,True
150,ppo_block_best,scikit-opt-SA,9,9,45.0,0.001953125,greater,True
200,ppo_block_best,alpha_ucb_block,15,10,55.0,0.001995757207164009,greater,True
200,ppo_block_best,alpha_ucb_meta_tuned,15,10,55.0,0.001995757207164009,greater,True
200,ppo_block_best,official_winner_kernel,9,6,21.0,0.012178957859018494,greater,True
200,ppo_block_best,ppo_block_final,9,0,,,greater,True
200,ppo_block_best,random_block,9,6,21.0,0.012178957859018494,greater,True
200,ppo_block_best,scikit-opt-SA,9,9,45.0,0.001953125,greater,True
