algorithm,bundle,scale,seed,eval_budget,best_obj,current_obj,actual_evals,candidate_scores,repair_delta_count,violation_count,feasible,wall_time_seconds,steps,reward_sum,worker_python_executable,worker_numpy_version,worker_integrity_ok
learned_destroy,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,25c,101,120,632.9565200232088,632.9565200232088,120,120,5758,0,True,1.9070000000065193,120,1.1288650733750651,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
operator_select,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,25c,101,120,536.8036807526236,536.8036807526236,120,120,49411,0,True,5.967999999993481,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
random_operator,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,25c,101,120,525.8652757762785,525.8652757762785,120,120,14147,0,True,2.327999999979511,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,25c,102,120,632.9565200232088,632.9565200232088,120,120,5758,0,True,1.8290000000270084,120,1.1288650733750651,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
operator_select,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,25c,102,120,536.8036807526236,536.8036807526236,120,120,45855,0,True,5.155999999959022,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
random_operator,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,25c,102,120,517.9040092724931,528.6180421427838,120,120,14159,0,True,3.0780000000959262,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,25c,103,120,632.9565200232088,632.9565200232088,120,120,5758,0,True,1.8439999999245629,120,1.1288650733750651,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
operator_select,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,25c,103,120,538.5576256124972,538.5576256124972,120,120,50385,0,True,4.625,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
random_operator,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,25c,103,120,531.1093386870909,531.2051870740138,120,120,12571,0,True,2.734000000054948,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,25c,101,120,606.1485529693543,606.1485529693543,120,120,7724,0,True,2.125,120,11.469769032542342,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
operator_select,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,25c,101,120,507.22575486564944,507.73149062582013,120,120,50686,0,True,7.765999999945052,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
random_operator,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,25c,101,120,481.9894126533244,490.1581359802995,120,120,10020,0,True,2.656000000075437,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,25c,102,120,606.1485529693543,606.1485529693543,120,120,7724,0,True,2.625,120,11.469769032542342,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
operator_select,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,25c,102,120,504.2153834675346,505.1390256145871,120,120,39030,0,True,6.452999999979511,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
random_operator,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,25c,102,120,503.7323005881744,508.18652273011577,120,120,12707,0,True,3.4839999999385327,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,25c,103,120,606.1485529693543,606.1485529693543,120,120,7724,0,True,2.35999999998603,120,11.469769032542342,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
operator_select,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,25c,103,120,518.3031336678295,518.393790141294,120,120,47689,0,True,5.0,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
random_operator,models/data_bundle/generated_instances/E-UK25_09__curric_d2_s3_seed9_24h,25c,103,120,517.208541632211,519.850779496024,120,120,12388,0,True,3.2030000000959262,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,50c,101,120,1270.7065329224858,1270.7065329224858,120,120,13217,0,True,3.640999999945052,120,6.873620072771616,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
operator_select,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,50c,101,120,932.6875810875972,932.6875810875972,120,120,164758,0,True,18.95299999997951,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
random_operator,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,50c,101,120,999.7388259725537,1003.904280762254,120,120,33815,0,True,7.297000000020489,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,50c,102,120,1270.7065329224858,1270.7065329224858,120,120,13217,0,True,3.827999999979511,120,6.873620072771616,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
operator_select,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,50c,102,120,1026.0133963117132,1026.0133963117132,120,120,173890,0,True,20.655999999959022,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
random_operator,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,50c,102,120,945.3490252832753,961.653318038553,120,120,42594,0,True,8.60999999998603,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
learned_destroy,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,50c,103,120,1270.7065329224858,1270.7065329224858,120,120,13217,0,True,3.702999999979511,120,6.873620072771616,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
operator_select,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,50c,103,120,964.4977873916756,966.2411467055762,120,120,165022,0,True,22.0,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
random_operator,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,50c,103,120,1046.9680333448935,1069.9478903258007,120,120,38307,0,True,7.327999999979511,120,,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5,True
