actual_evals,algorithm,best_obj,bundle,candidate_scores,current_obj,eval_budget,feasible,pomo_group,pomo_rollout,repair_delta_count,reward_sum,scale,seed,steps,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
120,learned_destroy,599.7803966779722,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,599.7803966779722,120,True,0,0,25524,76.0,25c,1,120,0,5.452999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,590.5108594798485,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,590.5108594798485,120,True,0,1,21592,70.0,25c,2,120,0,5.75,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,599.7803966779722,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,599.7803966779722,120,True,0,2,26268,54.0,25c,3,120,0,5.609000000054948,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,599.7803966779722,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,599.7803966779722,120,True,0,3,26677,81.0,25c,4,120,0,5.718999999924563,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,557.3603351459036,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,557.3603351459036,120,True,1,0,26527,91.0,25c,5,120,0,5.625,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,496.9279882488951,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,496.9279882488951,120,True,1,1,19976,91.0,25c,6,120,0,4.795999999972992,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,528.4726839824091,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,530.551496106091,120,True,1,2,24473,84.0,25c,7,120,0,5.563000000081956,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,489.4663717664625,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,489.4663717664625,120,True,1,3,19152,52.0,25c,8,120,0,4.890999999945052,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,477.2888133387052,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,477.2888133387052,120,True,2,0,18916,50.0,25c,9,120,0,4.797000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,471.31405959013097,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,471.31405959013097,120,True,2,1,21424,49.0,25c,10,120,0,5.092999999993481,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
