seed,hybrid_cost,fast_only_cost,hybrid_minus_fast,hybrid_seconds,fast_only_seconds,hybrid_iterations,fast_only_iterations,hybrid_dcrex_calls,hybrid_srex_calls,fast_only_srex_calls,hybrid_clients,fast_only_clients,hybrid_demand,fast_only_demand
11,6282,6268,14,258.9279345829855,261.2838969590084,12335,26495,1579,10756,26495,360/360,360/360,4814/4814,4814/4814
12,6291,6269,22,350.96816033299547,125.94627804201446,14603,13204,2523,12080,13204,360/360,360/360,4814/4814,4814/4814
13,6269,6276,-7,321.4935907499748,182.0346998749883,15051,18871,2069,12982,18871,360/360,360/360,4814/4814,4814/4814
14,6273,6301,-28,401.0670806670096,203.77552366699092,20017,20678,2772,17245,20678,360/360,360/360,4814/4814,4814/4814
15,6285,6300,-15,222.54730795801152,92.01801091598463,11056,9502,1563,9493,9502,360/360,360/360,4814/4814,4814/4814
16,6278,6274,4,256.9675919590227,228.4640681669989,12127,23929,1933,10194,23929,360/360,360/360,4814/4814,4814/4814
17,6297,6276,21,436.21479095797986,119.76545058298507,21083,12835,3077,18006,12835,360/360,360/360,4814/4814,4814/4814
18,6284,6302,-18,627.4065025410091,156.20693674997892,26727,16467,5234,21493,16467,360/360,360/360,4814/4814,4814/4814
19,6267,6281,-14,352.0575066250167,80.40344612498302,16871,9635,2726,14145,9635,360/360,360/360,4814/4814,4814/4814
20,6286,6279,7,356.5428666250082,193.64386845901026,18182,23622,2632,15550,23622,360/360,360/360,4814/4814,4814/4814
