bundle,seed,algorithm,eval_budget,evaluations,elapsed_seconds,best_cost,route_count,fixed_cost,ev_routes,cv_routes,ev_route_share,cv_route_share,violation_count,feasible,zero_violations,probe_attempts,accepted_merges,best_update_count,unique_solution_count,route_count_delta_vs_winner,fixed_cost_delta_vs_winner,objective_delta_vs_winner,gap_vs_lns_delta_pp
e2-threeshift-100c-01,1,shared_initial_solution,0,,,4086.253616024695,15,1200.0,1,14,0.06666666666666667,0.9333333333333333,0,True,True,,,,,1,80.0,1155.0932409263582,
e2-threeshift-100c-01,1,low_utilization_route_elimination_probe,0,,,4006.04347550556,14,1120.0,0,14,0.0,1.0,0,True,True,4,1,,,0,0.0,1074.883100407223,
e2-threeshift-100c-01,1,winner_kernel,400,400,22.479751999984728,2931.1603750983368,14,1120.0,1,13,0.07142857142857142,0.9285714285714286,0,True,True,,,59,60,,,,
e2-threeshift-100c-01,1,winner_kernel_plus_route_elimination,400,400,47.23787559999619,2931.1603750983368,14,1120.0,1,13,0.07142857142857142,0.9285714285714286,0,True,True,,,59,60,0,0.0,0.0,
e2-threeshift-100c-02,1,shared_initial_solution,0,,,3583.539854977179,14,1120.0,1,13,0.07142857142857142,0.9285714285714286,0,True,True,,,,,0,0.0,812.4147511661663,
e2-threeshift-100c-02,1,low_utilization_route_elimination_probe,0,,,3500.5961593260226,13,1040.0,0,13,0.0,1.0,0,True,True,1,1,,,-1,-80.0,729.47105551501,
e2-threeshift-100c-02,1,winner_kernel,400,400,21.63330469999346,2771.1251038110127,14,1120.0,1,13,0.07142857142857142,0.9285714285714286,0,True,True,,,59,60,,,,
e2-threeshift-100c-02,1,winner_kernel_plus_route_elimination,400,400,48.021126000006916,2640.5437175391257,14,1120.0,1,13,0.07142857142857142,0.9285714285714286,0,True,True,,,51,52,0,0.0,-130.5813862718869,
e2-threeshift-200c-01,1,shared_initial_solution,0,,,6633.4344963179965,27,2160.0,1,26,0.037037037037037035,0.9629629629629629,0,True,True,,,,,-3,-240.0,1503.3814831049658,
e2-threeshift-200c-01,1,low_utilization_route_elimination_probe,0,,,6553.485553241441,26,2080.0,0,26,0.0,1.0,0,True,True,1,1,,,-4,-320.0,1423.4325400284106,
e2-threeshift-200c-01,1,winner_kernel,400,400,60.431112200021744,5130.053013213031,30,2400.0,14,16,0.4666666666666667,0.5333333333333333,0,True,True,,,45,46,,,,
e2-threeshift-200c-01,1,winner_kernel_plus_route_elimination,400,400,80.88068440000643,5130.053013213031,30,2400.0,14,16,0.4666666666666667,0.5333333333333333,0,True,True,,,45,46,0,0.0,0.0,
