bundle,seed,algorithm,eval_budget,evaluations,elapsed_seconds,best_cost,route_count,fixed_cost,ev_routes,cv_routes,ev_route_share,cv_route_share,violation_count,feasible,zero_violations,probe_attempts,accepted_merges,best_update_count,unique_solution_count,route_count_delta_vs_winner,fixed_cost_delta_vs_winner,objective_delta_vs_winner,gap_vs_lns_delta_pp
e2-threeshift-50c-01,1,shared_initial_solution,0,,,1783.6949728422799,8,640.0,1,7,0.125,0.875,0,True,True,,,,,1,80.0,425.08792591746374,
e2-threeshift-50c-01,1,low_utilization_route_elimination_probe,0,,,1703.8771110891244,7,560.0,0,7,0.0,1.0,0,True,True,2,1,,,0,0.0,345.2700641643082,
e2-threeshift-50c-01,1,winner_kernel,400,400,10.185362699994585,1358.6070469248161,7,560.0,1,6,0.14285714285714285,0.8571428571428571,0,True,True,,,25,26,,,,
e2-threeshift-50c-01,1,winner_kernel_plus_route_elimination,400,400,19.800966299982974,1338.4972794081434,7,560.0,2,5,0.2857142857142857,0.7142857142857143,0,True,True,,,25,26,0,0.0,-20.10976751667272,
e2-threeshift-50c-02,1,shared_initial_solution,0,,,1688.4882105692388,8,640.0,1,7,0.125,0.875,0,True,True,,,,,1,80.0,253.3603887303725,
e2-threeshift-50c-02,1,low_utilization_route_elimination_probe,0,,,1604.030331597096,7,560.0,0,7,0.0,1.0,0,True,True,1,1,,,0,0.0,168.9025097582296,
e2-threeshift-50c-02,1,winner_kernel,400,400,14.1540960999846,1435.1278218388663,7,560.0,1,6,0.14285714285714285,0.8571428571428571,0,True,True,,,18,19,,,,
e2-threeshift-50c-02,1,winner_kernel_plus_route_elimination,400,400,22.15249269999913,1424.7105457730293,7,560.0,0,7,0.0,1.0,0,True,True,,,20,21,0,0.0,-10.417276065837086,
e2-threeshift-50c-03,1,shared_initial_solution,0,,,1846.5175774925988,9,720.0,1,8,0.1111111111111111,0.8888888888888888,0,True,True,,,,,1,80.0,377.08222344656724,
e2-threeshift-50c-03,1,low_utilization_route_elimination_probe,0,,,1846.5175774925988,9,720.0,1,8,0.1111111111111111,0.8888888888888888,0,True,True,2,0,,,1,80.0,377.08222344656724,
e2-threeshift-50c-03,1,winner_kernel,400,400,8.881678799982183,1469.4353540460315,8,640.0,0,8,0.0,1.0,0,True,True,,,37,38,,,,
e2-threeshift-50c-03,1,winner_kernel_plus_route_elimination,400,400,9.241892600024585,1469.4353540460315,8,640.0,0,8,0.0,1.0,0,True,True,,,37,38,0,0.0,0.0,
e2-threeshift-75c-01,1,shared_initial_solution,0,,,2732.803960039656,12,960.0,1,11,0.08333333333333333,0.9166666666666666,0,True,True,,,,,1,80.0,666.4939453258585,
e2-threeshift-75c-01,1,low_utilization_route_elimination_probe,0,,,2652.720914214855,11,880.0,0,11,0.0,1.0,0,True,True,2,1,,,0,0.0,586.4108995010574,
e2-threeshift-75c-01,1,winner_kernel,400,400,20.380070800019894,2066.3100147137975,11,880.0,3,8,0.2727272727272727,0.7272727272727273,0,True,True,,,37,38,,,,
e2-threeshift-75c-01,1,winner_kernel_plus_route_elimination,400,400,28.38376270001754,2066.3100147137975,11,880.0,3,8,0.2727272727272727,0.7272727272727273,0,True,True,,,37,38,0,0.0,0.0,
e2-threeshift-75c-02,1,shared_initial_solution,0,,,2515.46683089774,11,880.0,1,10,0.09090909090909091,0.9090909090909091,0,True,True,,,,,1,80.0,576.2544564385753,
e2-threeshift-75c-02,1,low_utilization_route_elimination_probe,0,,,2433.4889343022924,10,800.0,0,10,0.0,1.0,0,True,True,1,1,,,0,0.0,494.27655984312787,
e2-threeshift-75c-02,1,winner_kernel,400,400,12.474395600002026,1939.2123744591645,10,800.0,0,10,0.0,1.0,0,True,True,,,43,44,,,,
e2-threeshift-75c-02,1,winner_kernel_plus_route_elimination,400,400,25.20577400000184,1886.604558534299,10,800.0,0,10,0.0,1.0,0,True,True,,,66,67,0,0.0,-52.60781592486546,
e2-threeshift-75c-03,1,shared_initial_solution,0,,,2561.2998826512867,11,880.0,1,10,0.09090909090909091,0.9090909090909091,0,True,True,,,,,1,80.0,534.9745932824094,
e2-threeshift-75c-03,1,low_utilization_route_elimination_probe,0,,,2475.643030948471,10,800.0,0,10,0.0,1.0,0,True,True,1,1,,,0,0.0,449.31774157959353,
e2-threeshift-75c-03,1,winner_kernel,400,400,14.165011800010689,2026.3252893688773,10,800.0,0,10,0.0,1.0,0,True,True,,,43,44,,,,
e2-threeshift-75c-03,1,winner_kernel_plus_route_elimination,400,400,30.082541099982336,2022.6601311086076,10,800.0,1,9,0.1,0.9,0,True,True,,,33,34,0,0.0,-3.6651582602696635,
e2-threeshift-150c-01,1,shared_initial_solution,0,,,5803.553350198798,22,1760.0,1,21,0.045454545454545456,0.9545454545454546,0,True,True,,,,,0,0.0,138.1179258343318,
e2-threeshift-150c-01,1,low_utilization_route_elimination_probe,0,,,5724.523927285911,21,1680.0,0,21,0.0,1.0,0,True,True,3,1,,,-1,-80.0,59.08850292144416,
e2-threeshift-150c-01,1,winner_kernel,400,400,11.099861099995906,5665.435424364467,22,1760.0,3,19,0.13636363636363635,0.8636363636363636,0,True,True,,,4,5,,,,
e2-threeshift-150c-01,1,winner_kernel_plus_route_elimination,400,400,47.05894019998959,4180.062445356582,21,1680.0,3,18,0.14285714285714285,0.8571428571428571,0,True,True,,,44,45,-1,-80.0,-1485.3729790078842,
e2-threeshift-150c-02,1,shared_initial_solution,0,,,5059.001494485717,21,1680.0,1,20,0.047619047619047616,0.9523809523809523,0,True,True,,,,,0,0.0,392.5675245028224,
e2-threeshift-150c-02,1,low_utilization_route_elimination_probe,0,,,4977.822607359535,20,1600.0,0,20,0.0,1.0,0,True,True,2,1,,,-1,-80.0,311.3886373766409,
e2-threeshift-150c-02,1,winner_kernel,400,400,6.242108599981293,4666.433969982894,21,1680.0,2,19,0.09523809523809523,0.9047619047619048,0,True,True,,,27,28,,,,
e2-threeshift-150c-02,1,winner_kernel_plus_route_elimination,400,400,42.668922499986365,4486.5969306960105,21,1680.0,4,17,0.19047619047619047,0.8095238095238095,0,True,True,,,20,21,0,0.0,-179.83703928688374,
e2-threeshift-150c-03,1,shared_initial_solution,0,,,5101.305301080058,20,1600.0,1,19,0.05,0.95,0,True,True,,,,,-1,-80.0,1413.2593932247955,
e2-threeshift-150c-03,1,low_utilization_route_elimination_probe,0,,,5017.380490168896,19,1520.0,0,19,0.0,1.0,0,True,True,1,1,,,-2,-160.0,1329.3345823136342,
e2-threeshift-150c-03,1,winner_kernel,400,400,59.85972269999911,3688.045907855262,21,1680.0,7,14,0.3333333333333333,0.6666666666666666,0,True,True,,,43,44,,,,
e2-threeshift-150c-03,1,winner_kernel_plus_route_elimination,400,400,115.88837760000024,3594.562629581905,21,1680.0,5,16,0.23809523809523808,0.7619047619047619,0,True,True,,,55,56,0,0.0,-93.48327827335697,
