seed,carbon_price,quota,total_cost,total_carbon_kg,actual_evals,elapsed_seconds,feasible
1,0.5,0.5,8403.955,954.259,16000,941.0052361250127,是
2,0.5,0.5,8283.695,864.588,16000,710.0365034999995,是
3,0.5,0.5,8432.516,1032.877,16000,737.3523151249974,是
4,0.5,0.5,8185.535,815.498,16000,645.0230950420082,是
5,0.5,0.5,8423.009,974.135,16000,646.4032876249985,是
6,0.5,0.5,8266.076,806.082,16000,675.1508936250175,是
7,0.5,0.5,8273.29,887.331,16000,683.4176082919876,是
8,0.5,0.5,8413.117,1163.398,16000,651.7037878749834,是
9,0.5,0.5,8172.428,795.628,16000,711.0063410000002,是
10,0.5,0.5,8367.422,1122.055,16000,684.7231024169887,是
1,0.5,0.8,8396.229,954.259,16000,943.1062435839995,是
2,0.5,0.8,8275.969,864.588,16000,721.2988872499991,是
3,0.5,0.8,8424.79,1032.877,16000,786.5496684170212,是
4,0.5,0.8,8177.809,815.498,16000,648.3761377920164,是
5,0.5,0.8,8415.283,974.135,16000,643.4329231669835,是
6,0.5,0.8,8258.35,806.082,16000,676.1359681670147,是
7,0.5,0.8,8265.563,887.331,16000,677.414864833001,是
8,0.5,0.8,8405.391,1163.398,16000,637.809422374994,是
9,0.5,0.8,8164.702,795.628,16000,656.6190693750104,是
10,0.5,0.8,8359.695,1122.055,16000,674.73470958299,是
1,0.5,1,8391.078,954.259,16000,1022.9075962499919,是
2,0.5,1,8270.818,864.588,16000,727.0742868750094,是
3,0.5,1,8419.639,1032.877,16000,691.2142141250079,是
4,0.5,1,8172.658,815.498,16000,647.7477771249833,是
5,0.5,1,8410.132,974.135,16000,645.157786374999,是
6,0.5,1,8253.199,806.082,16000,672.3344155000232,是
7,0.5,1,8260.413,887.331,16000,676.9070290000236,是
8,0.5,1,8400.24,1163.398,16000,636.9634603750019,是
9,0.5,1,8159.551,795.628,16000,652.5393196250079,是
10,0.5,1,8354.545,1122.055,16000,659.1677793750132,是
1,0.5,1.2,8385.928,954.259,16000,793.6196955420019,是
2,0.5,1.2,8265.668,864.588,16000,739.4307732080051,是
3,0.5,1.2,8414.488,1032.877,16000,645.833615792013,是
4,0.5,1.2,8167.507,815.498,16000,646.9895501249994,是
5,0.5,1.2,8404.981,974.135,16000,643.4916384170065,是
6,0.5,1.2,8248.049,806.082,16000,670.2963115840103,是
7,0.5,1.2,8255.262,887.331,16000,679.8149381249968,是
8,0.5,1.2,8395.089,1163.398,16000,635.9927582080127,是
9,0.5,1.2,8154.4,795.628,16000,651.0590412500023,是
10,0.5,1.2,8349.394,1122.055,16000,664.0425494170049,是
1,1,0.5,8426.807,961.718,16000,856.8290277500055,是
2,1,0.5,8307.753,875.431,16000,744.0604445829813,是
3,1,0.5,8445.637,1032.877,16000,665.8992741659749,是
4,1,0.5,8234.204,764.23,16000,700.2684938330203,是
5,1,0.5,8489.845,980.82,16000,663.267501291004,是
6,1,0.5,8160.266,723.189,16000,649.6318069160043,是
7,1,0.5,8282.747,887.331,16000,682.9725389170053,是
8,1,0.5,8394.891,965.201,16000,645.1707011660037,是
9,1,0.5,8126.374,730.878,16000,714.4284086250118,是
10,1,0.5,8404.193,970.923,16000,615.5554300000076,是
1,1,0.8,8411.354,961.718,16000,532.9813427919871,是
