key_id,experiment,instance,algorithm,seed,variant,theta,carbon_price,quota,status,actual_evals,violation_count,feasible,best_cost,best_penalized_obj,elapsed_seconds
E1|L-main|ALNS-Wouda|1|mixed,E1,L-main,ALNS-Wouda,1,mixed,,,,completed,16000,0,True,8411.35408232858,8411.35408232858,987.1828101249994
E1|L-main|ALNS-Wouda|1|cv_only,E1,L-main,ALNS-Wouda,1,cv_only,,,,completed,16000,0,True,9050.328143430064,9050.328143430064,349.2162552080117
E1|L-main|ALNS-Wouda|1|ev_only,E1,L-main,ALNS-Wouda,1,ev_only,,,,completed,16000,0,True,8194.359728860923,8194.359728860923,1276.2938169589906
E1|L-main|ALNS-Wouda|10|mixed,E1,L-main,ALNS-Wouda,10,mixed,,,,completed,16000,0,True,8388.740143989946,8388.740143989946,647.1505783339962
E1|L-main|ALNS-Wouda|10|cv_only,E1,L-main,ALNS-Wouda,10,cv_only,,,,completed,16000,0,True,8980.830061461073,8980.830061461073,249.57523983399733
E1|L-main|ALNS-Wouda|10|ev_only,E1,L-main,ALNS-Wouda,10,ev_only,,,,completed,16000,0,True,8157.924920738022,8157.924920738022,952.0149819999933
E1|L-main|ALNS-Wouda|2|mixed,E1,L-main,ALNS-Wouda,2,mixed,,,,completed,16000,0,True,8292.3009975218,8292.3009975218,714.2748164160002
E1|L-main|ALNS-Wouda|2|cv_only,E1,L-main,ALNS-Wouda,2,cv_only,,,,completed,16000,0,True,8876.725135364575,8876.725135364575,245.13291983300587
E1|L-main|ALNS-Wouda|2|ev_only,E1,L-main,ALNS-Wouda,2,ev_only,,,,completed,16000,0,True,7754.622149513949,7754.622149513949,845.0406505409919
E1|L-main|ALNS-Wouda|3|mixed,E1,L-main,ALNS-Wouda,3,mixed,,,,completed,16000,0,True,8430.184189251264,8430.184189251264,739.4057052499847
E1|L-main|ALNS-Wouda|3|cv_only,E1,L-main,ALNS-Wouda,3,cv_only,,,,completed,16000,0,True,8777.507488826785,8777.507488826785,246.22870350000449
E1|L-main|ALNS-Wouda|3|ev_only,E1,L-main,ALNS-Wouda,3,ev_only,,,,completed,16000,0,True,8112.8398857815955,8112.8398857815955,920.7103497500066
E1|L-main|ALNS-Wouda|4|mixed,E1,L-main,ALNS-Wouda,4,mixed,,,,completed,16000,0,True,8218.75181992536,8218.75181992536,698.189990083978
E1|L-main|ALNS-Wouda|4|cv_only,E1,L-main,ALNS-Wouda,4,cv_only,,,,completed,16000,0,True,8182.371487116969,8182.371487116969,827.8088829170156
E1|L-main|ALNS-Wouda|4|ev_only,E1,L-main,ALNS-Wouda,4,ev_only,,,,completed,16000,0,True,7849.139514659024,7849.139514659024,793.8290227920224
E1|L-main|ALNS-Wouda|5|mixed,E1,L-main,ALNS-Wouda,5,mixed,,,,completed,16000,0,True,8474.392508748058,8474.392508748058,658.4614861250157
E1|L-main|ALNS-Wouda|5|cv_only,E1,L-main,ALNS-Wouda,5,cv_only,,,,completed,16000,0,True,8802.689104270092,8802.689104270092,224.46690029202728
E1|L-main|ALNS-Wouda|5|ev_only,E1,L-main,ALNS-Wouda,5,ev_only,,,,completed,16000,0,True,8258.30454582704,8258.30454582704,803.7949767499813
E1|L-main|ALNS-Wouda|6|mixed,E1,L-main,ALNS-Wouda,6,mixed,,,,completed,16000,0,True,8224.922242394723,8224.922242394723,677.0648491249885
E1|L-main|ALNS-Wouda|6|cv_only,E1,L-main,ALNS-Wouda,6,cv_only,,,,completed,16000,0,True,8901.463125898303,8901.463125898303,226.38160108300508
E1|L-main|ALNS-Wouda|6|ev_only,E1,L-main,ALNS-Wouda,6,ev_only,,,,completed,16000,0,True,7732.067926350702,7732.067926350702,789.0899645000172
E1|L-main|ALNS-Wouda|7|mixed,E1,L-main,ALNS-Wouda,7,mixed,,,,completed,16000,0,True,8267.294264938928,8267.294264938928,682.5586661249981
E1|L-main|ALNS-Wouda|7|cv_only,E1,L-main,ALNS-Wouda,7,cv_only,,,,completed,16000,0,True,8806.12643510032,8806.12643510032,223.5150503749901
E1|L-main|ALNS-Wouda|7|ev_only,E1,L-main,ALNS-Wouda,7,ev_only,,,,completed,16000,0,True,8247.384285990884,8247.384285990884,830.518430666998
E1|L-main|ALNS-Wouda|8|mixed,E1,L-main,ALNS-Wouda,8,mixed,,,,completed,16000,0,True,8379.438796696691,8379.438796696691,640.0258965840039
E1|L-main|ALNS-Wouda|8|cv_only,E1,L-main,ALNS-Wouda,8,cv_only,,,,completed,16000,0,True,8652.187991389808,8652.187991389808,268.26868995898985
E1|L-main|ALNS-Wouda|8|ev_only,E1,L-main,ALNS-Wouda,8,ev_only,,,,completed,16000,0,True,7897.010970326504,7897.010970326504,798.3279022499919
E1|L-main|ALNS-Wouda|9|mixed,E1,L-main,ALNS-Wouda,9,mixed,,,,completed,16000,0,True,8110.921330855846,8110.921330855846,678.4606303749897
E1|L-main|ALNS-Wouda|9|cv_only,E1,L-main,ALNS-Wouda,9,cv_only,,,,completed,16000,0,True,9143.955619865443,9143.955619865443,230.02374499998405
E1|L-main|ALNS-Wouda|9|ev_only,E1,L-main,ALNS-Wouda,9,ev_only,,,,completed,16000,0,True,8201.629255876696,8201.629255876696,827.2431431669975
E2|L-main|ALNS-Wouda|1|formal,E2,L-main,ALNS-Wouda,1,formal,,,,completed,16000,0,True,8391.552807976264,8391.552807976264,997.407685875005
E2|L-main|VNS@Valdecy|1|formal,E2,L-main,VNS@Valdecy,1,formal,,,,completed,16000,0,True,9061.162848260083,9061.162848260083,82.89159612500225
E2|L-main|PyGAD|1|formal,E2,L-main,PyGAD,1,formal,,,,completed,16000,0,True,9594.22129792702,9594.22129792702,116.52512895899417
E2|L-main|scikit-opt-GA|1|formal,E2,L-main,scikit-opt-GA,1,formal,,,,completed,16000,0,True,9623.712072291504,9623.712072291504,114.43652958299208
E2|L-main|scikit-opt-SA|1|formal,E2,L-main,scikit-opt-SA,1,formal,,,,completed,16000,0,True,8284.01816579017,8284.01816579017,366.30612670800474
E2|L-main|ALNS@wangqianlongucas|1|formal,E2,L-main,ALNS@wangqianlongucas,1,formal,,,,completed,16000,0,True,9666.358832368967,9666.358832368967,70.69834820799588
E2|L-main|NSGA-II@haris989|1|formal,E2,L-main,NSGA-II@haris989,1,formal,,,,completed,16001,0,True,8567.878764557941,8567.878764557941,350.4134826250083
E2|L-main|DR-ALNS|1|formal,E2,L-main,DR-ALNS,1,formal,,,,completed,16000,0,True,8302.7583848591,8302.7583848591,505.34471262499574
E2|100-01-24h|ALNS-Wouda|1|formal,E2,100-01-24h,ALNS-Wouda,1,formal,,,,completed,16000,0,True,4940.847490923838,4940.847490923838,418.5656156250043
E2|100-01-24h|VNS@Valdecy|1|formal,E2,100-01-24h,VNS@Valdecy,1,formal,,,,completed,16000,0,True,5455.354732197437,5455.354732197437,35.191830333002144
E2|100-01-24h|PyGAD|1|formal,E2,100-01-24h,PyGAD,1,formal,,,,completed,16000,0,True,6242.328363761326,6242.328363761326,50.78460116700444
E2|100-01-24h|scikit-opt-GA|1|formal,E2,100-01-24h,scikit-opt-GA,1,formal,,,,completed,16000,0,True,6239.573227520749,6239.573227520749,36.62010116700549
E2|100-01-24h|scikit-opt-SA|1|formal,E2,100-01-24h,scikit-opt-SA,1,formal,,,,completed,16000,0,True,5331.576889799002,5331.576889799002,73.44940679099818
E2|100-01-24h|ALNS@wangqianlongucas|1|formal,E2,100-01-24h,ALNS@wangqianlongucas,1,formal,,,,completed,16000,0,True,6331.298733608956,6331.298733608956,26.053389041000628
E2|100-01-24h|NSGA-II@haris989|1|formal,E2,100-01-24h,NSGA-II@haris989,1,formal,,,,completed,16001,0,True,5534.447011382984,5534.447011382984,82.0753867910098
E2|L-main|ALNS-Wouda|10|formal,E2,L-main,ALNS-Wouda,10,formal,,,,completed,16000,0,True,8389.784469356235,8389.784469356235,751.7530870829942
E2|L-main|VNS@Valdecy|10|formal,E2,L-main,VNS@Valdecy,10,formal,,,,completed,16000,0,True,8981.977959411817,8981.977959411817,62.88947824999923
E2|L-main|PyGAD|10|formal,E2,L-main,PyGAD,10,formal,,,,completed,16000,0,True,9618.216236176615,9618.216236176615,84.53288879198954
E2|L-main|scikit-opt-GA|10|formal,E2,L-main,scikit-opt-GA,10,formal,,,,completed,16000,0,True,9569.536013975994,9569.536013975994,88.59702841701801
E2|L-main|scikit-opt-SA|10|formal,E2,L-main,scikit-opt-SA,10,formal,,,,completed,16000,0,True,8479.640785750202,8479.640785750202,252.7693353749928
E2|L-main|ALNS@wangqianlongucas|10|formal,E2,L-main,ALNS@wangqianlongucas,10,formal,,,,completed,16000,0,True,9657.502068363654,9657.502068363654,82.04341870799544
E2|L-main|NSGA-II@haris989|10|formal,E2,L-main,NSGA-II@haris989,10,formal,,,,completed,16001,0,True,8601.115661860102,8601.115661860102,263.67130970800645
E2|100-01-24h|ALNS-Wouda|10|formal,E2,100-01-24h,ALNS-Wouda,10,formal,,,,completed,16000,0,True,4784.033016041024,4784.033016041024,356.092056458001
E2|100-01-24h|VNS@Valdecy|10|formal,E2,100-01-24h,VNS@Valdecy,10,formal,,,,completed,16000,0,True,5326.427078046308,5326.427078046308,21.74694445799105
E2|100-01-24h|PyGAD|10|formal,E2,100-01-24h,PyGAD,10,formal,,,,completed,16000,0,True,6154.200208702004,6154.200208702004,33.815673749981215
E2|100-01-24h|scikit-opt-GA|10|formal,E2,100-01-24h,scikit-opt-GA,10,formal,,,,completed,16000,0,True,6241.3221410349115,6241.3221410349115,32.382465332979336
E2|100-01-24h|scikit-opt-SA|10|formal,E2,100-01-24h,scikit-opt-SA,10,formal,,,,completed,16000,0,True,5298.570770421826,5298.570770421826,82.47697279200656
E2|100-01-24h|ALNS@wangqianlongucas|10|formal,E2,100-01-24h,ALNS@wangqianlongucas,10,formal,,,,completed,16000,0,True,6330.191795057195,6330.191795057195,28.642461165989516
E2|100-01-24h|NSGA-II@haris989|10|formal,E2,100-01-24h,NSGA-II@haris989,10,formal,,,,completed,16001,0,True,5570.584593448169,5570.584593448169,78.73567254198133
E2|L-main|ALNS-Wouda|2|formal,E2,L-main,ALNS-Wouda,2,formal,,,,completed,16000,0,True,8413.042539617747,8413.042539617747,725.0859635829984
E2|L-main|VNS@Valdecy|2|formal,E2,L-main,VNS@Valdecy,2,formal,,,,completed,16000,0,True,8965.353276643173,8965.353276643173,61.61649283400038
E2|L-main|PyGAD|2|formal,E2,L-main,PyGAD,2,formal,,,,completed,16000,0,True,9617.786692601741,9617.786692601741,82.73110333399381
E2|L-main|scikit-opt-GA|2|formal,E2,L-main,scikit-opt-GA,2,formal,,,,completed,16000,0,True,9594.964193726879,9594.964193726879,83.36163483299606
E2|L-main|scikit-opt-SA|2|formal,E2,L-main,scikit-opt-SA,2,formal,,,,completed,16000,0,True,8521.411595624506,8521.411595624506,243.24929274999886
E2|L-main|ALNS@wangqianlongucas|2|formal,E2,L-main,ALNS@wangqianlongucas,2,formal,,,,completed,16000,0,True,9666.358832368967,9666.358832368967,79.72205962501175
E2|L-main|NSGA-II@haris989|2|formal,E2,L-main,NSGA-II@haris989,2,formal,,,,completed,16001,0,True,8641.969001254547,8641.969001254547,264.9114702920051
E2|100-01-24h|ALNS-Wouda|2|formal,E2,100-01-24h,ALNS-Wouda,2,formal,,,,completed,16000,0,True,4731.514705663005,4731.514705663005,364.2224373749923
E2|100-01-24h|VNS@Valdecy|2|formal,E2,100-01-24h,VNS@Valdecy,2,formal,,,,completed,16000,0,True,5284.307007461321,5284.307007461321,25.478063333008322
E2|100-01-24h|PyGAD|2|formal,E2,100-01-24h,PyGAD,2,formal,,,,completed,16000,0,True,6241.3221410349115,6241.3221410349115,35.929509082998266
E2|100-01-24h|scikit-opt-GA|2|formal,E2,100-01-24h,scikit-opt-GA,2,formal,,,,completed,16000,0,True,6233.839461774462,6233.839461774462,32.497922458001995
E2|100-01-24h|scikit-opt-SA|2|formal,E2,100-01-24h,scikit-opt-SA,2,formal,,,,completed,16000,0,True,5166.498854217437,5166.498854217437,76.62989325000672
E2|100-01-24h|ALNS@wangqianlongucas|2|formal,E2,100-01-24h,ALNS@wangqianlongucas,2,formal,,,,completed,16000,0,True,6331.298733608956,6331.298733608956,24.42839791601
E2|100-01-24h|NSGA-II@haris989|2|formal,E2,100-01-24h,NSGA-II@haris989,2,formal,,,,completed,16001,0,True,5630.530078744139,5630.530078744139,72.16337987499719
E2|L-main|ALNS-Wouda|3|formal,E2,L-main,ALNS-Wouda,3,formal,,,,completed,16000,0,True,8568.672975509571,8568.672975509571,831.4239351249998
E2|L-main|VNS@Valdecy|3|formal,E2,L-main,VNS@Valdecy,3,formal,,,,completed,16000,0,True,9067.882966713292,9067.882966713292,88.41112762500416
E2|L-main|PyGAD|3|formal,E2,L-main,PyGAD,3,formal,,,,completed,16000,0,True,9586.108962052238,9586.108962052238,95.58435958399787
E2|L-main|scikit-opt-GA|3|formal,E2,L-main,scikit-opt-GA,3,formal,,,,completed,16000,0,True,9611.972307315753,9611.972307315753,101.51603908301331
E2|L-main|scikit-opt-SA|3|formal,E2,L-main,scikit-opt-SA,3,formal,,,,completed,16000,0,True,8183.255822799835,8183.255822799835,283.2951999170182
E2|L-main|ALNS@wangqianlongucas|3|formal,E2,L-main,ALNS@wangqianlongucas,3,formal,,,,completed,16000,0,True,9666.247345066975,9666.247345066975,91.68044579200796
E2|L-main|NSGA-II@haris989|3|formal,E2,L-main,NSGA-II@haris989,3,formal,,,,completed,16001,0,True,8544.896926521958,8544.896926521958,249.51859083300224
E2|100-01-24h|ALNS-Wouda|3|formal,E2,100-01-24h,ALNS-Wouda,3,formal,,,,completed,16000,0,True,4764.231256190809,4764.231256190809,391.1751736669976
E2|100-01-24h|VNS@Valdecy|3|formal,E2,100-01-24h,VNS@Valdecy,3,formal,,,,completed,16000,0,True,5561.666684488057,5561.666684488057,20.878273332986282
E2|100-01-24h|PyGAD|3|formal,E2,100-01-24h,PyGAD,3,formal,,,,completed,16000,0,True,6263.730713130869,6263.730713130869,29.246913125010906
E2|100-01-24h|scikit-opt-GA|3|formal,E2,100-01-24h,scikit-opt-GA,3,formal,,,,completed,16000,0,True,6215.089092871072,6215.089092871072,30.427179499994963
E2|100-01-24h|scikit-opt-SA|3|formal,E2,100-01-24h,scikit-opt-SA,3,formal,,,,completed,16000,0,True,5332.825414800519,5332.825414800519,72.95136645899038
E2|100-01-24h|ALNS@wangqianlongucas|3|formal,E2,100-01-24h,ALNS@wangqianlongucas,3,formal,,,,completed,16000,0,True,6284.456359002224,6284.456359002224,22.05626937499619
E2|100-01-24h|NSGA-II@haris989|3|formal,E2,100-01-24h,NSGA-II@haris989,3,formal,,,,completed,16001,0,True,5672.279797473244,5672.279797473244,60.7887292910018
E2|L-main|ALNS-Wouda|4|formal,E2,L-main,ALNS-Wouda,4,formal,,,,completed,16000,0,True,8340.131003315564,8340.131003315564,639.2465441660024
