event_id,customer_id,appearance_second,demand_kg,x,y,ready_second,due_second,service_second,city
ADD_001_C009,C009,24743.05884935087,208.0,113.2896625,23.1235917,45714.39402,49162.43436,540.0,
ADD_004_C015,C015,32041.50778024544,417.0,113.2475866,23.1291405,46401.56651999999,48612.77142,1080.0,
ADD_006_C031,C031,32463.70184515415,278.0,114.0166004,22.5474625,61117.11348,63396.32826,720.0,
ADD_007_C034,C034,33246.24520414718,208.0,114.0545059,22.549298,56237.64996,58917.88362,540.0,
ADD_010_C046,C046,34020.82846822313,139.0,114.0598406,22.5386924,45995.04612,48704.1414,360.0,
ADD_008_C037,C037,36269.465721924236,417.0,114.0716741,22.5294368,48206.25966,50150.255339999996,1080.0,
ADD_005_C018,C018,43036.14057051672,139.0,113.2366738,23.1190974,58368.95448,61387.532100000004,360.0,
ADD_003_C014,C014,43500.09209705253,278.0,113.2483562,23.1241232,48393.01776,50461.06572,720.0,
ADD_009_C042,C042,47210.324415723066,139.0,114.0185102,22.5379406,61193.80206,64400.59217999999,360.0,
ADD_002_C012,C012,55552.16544865309,278.0,113.2684393,23.0978375,56829.20574,59994.24414,720.0,
