instance,arm,seed,requested_iterations,iterations,runtime_seconds,cost,route_sha256,complete,feasible,completed_clients,total_clients,completed_delivery,total_delivery,no_duplicate_clients,compound_calls,compound_accepted_calls,compound_customer_calls,compound_customer_candidate_evaluations,compound_customer_joint_evaluations,compound_customer_moves_accepted,compound_customer_joint_only_accepted_moves,compound_route_slot_evaluations,compound_rotations_evaluated,compound_assignments_changed,compound_rotations_changed,compound_cache_hits,compound_cache_misses,compound_runtime_seconds
PR11A,copied_loop,11,1000,1000,15.826385416963603,6948876,46c8d573fdc3528bd150b973e7a09b3e54c1eeea6f083b5fb8a25e89e8df9ae5,True,True,360,360,4806000,4806000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR11A,route_only_compound,11,1000,1000,18.607362625014503,6907679,dac9ab8c8f63a9bdecc6d723e33b2b46dd7d359d3b1393e4049a7cf81fbc3b71,True,True,360,360,4806000,4806000,True,300,180,0,0,0,0,0,393800,138748,333,4,26684,12696,0.21617683145450428
PR11A,full_customer_compound,11,1000,1000,125.71396099997219,6907155,dc3e6bff242e6741134bb5fc763a69c291d3a68f845972ced19d085336f11d44,True,True,360,360,4806000,4806000,True,351,268,351,3642339,3641832,80,80,24002612,153202926,369,2,11371084,12131704,108.04085212358041
PR11B,copied_loop,11,1000,1000,14.656499749980867,4954233,e0dc22866fc03f426b73641c6571cab4d4a4d6fac6ba2a1d4cce031a0878576a,True,True,360,360,4700000,4700000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR11B,route_only_compound,11,1000,1000,17.340548499953,4967777,2de371ba670f5ff485f0f613b75bbd8442e7d909141eb490f305234b70e7c9d0,True,True,360,360,4700000,4700000,True,267,118,0,0,0,0,0,225856,176240,150,22,15016,13216,0.1809602096909657
PR11B,full_customer_compound,11,1000,1000,115.30762595799752,4916977,b4ed65453142907bc2b32515fea2bdd76788b3178339bc08e13ff647c4110bae,True,True,360,360,4700000,4700000,True,373,219,373,3509654,3508590,97,97,22180966,171769326,162,26,10525872,11309322,98.15224035776919
PR12A,copied_loop,11,1000,1000,22.8254417499993,8541765,94c0283b981e748562a9f22745f30cc6f1cf710eb6bb5e7c0f439c07fa1b54d2,True,True,480,480,6378000,6378000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR12A,route_only_compound,11,1000,1000,27.390917082957458,8577429,74033b5c2fdb4c32367a971f966f106179b1a622ea89eeccb1fc5c4b19344fef,True,True,480,480,6378000,6378000,True,264,185,0,0,0,0,0,577512,187440,367,0,27928,16496,0.31395763193722814
PR12A,full_customer_compound,11,1000,1000,140.80908041697694,8669637,06938bc950f67fec543ee983d1f9990ca9fb14b9fc032a58d72f3d1232ff5d2c,True,True,480,480,6378000,6378000,True,259,272,259,3265270,3264768,106,106,24906710,161437009,324,0,11713628,12452538,114.6423717069556
PR12B,copied_loop,11,1000,1000,22.266933457984123,6262990,88ab14201e8d39bd1e47ec493e00d3803527dfae8324f862d9b91d93b5bab42d,True,True,480,480,6173000,6173000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR12B,route_only_compound,11,1000,1000,25.68955966597423,6185981,dd0bdcdfa1fd5101d6314dd13b0adac5467ba255bc869a28e4009268af2a0e7e,True,True,480,480,6173000,6173000,True,367,158,0,0,0,0,0,559812,275988,237,31,30604,20288,0.36926838487852365
PR12B,full_customer_compound,11,1000,1000,116.94059675000608,6194073,5572c88f18c074d9299c072b168167b6995be0a64f5e8a1919be82228c6f410d,True,True,480,480,6173000,6173000,True,261,245,261,2771090,2770334,111,111,18041944,136993485,213,23,8460191,9064673,87.42327298555756
PR13A,copied_loop,11,1000,1000,33.22589025000343,10043338,33b51a3ee5101c112a6e93fd8eae2860084482c42f63a044dcb2dab91180284d,True,True,600,600,7846000,7846000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR13A,route_only_compound,11,1000,1000,35.346256290969905,9965185,2ebcd5ba0884ca36ee9e4ff2bbe4d61144c68eeae7e86fd21d5e76ca3fce786d,True,True,600,600,7846000,7846000,True,296,194,0,0,0,0,0,967040,265320,413,3,37572,22868,0.375896648154594
PR13A,full_customer_compound,11,1000,1000,202.69690554199042,10098920,f347d5eb756cf5102a122621a047788a4eed2e88c7c504810e4443ab33120150,True,True,600,600,7846000,7846000,True,278,320,278,4236962,4236303,127,127,32793009,215378327,394,1,15301722,16253247,165.0074063645443
PR13B,copied_loop,11,1000,1000,28.532183916016947,7499640,036f25a82cf4b85cb9e8f19e30af6f734a5ca52b0afc7ae557f5fb27e2ca3a33,True,True,600,600,7506000,7506000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR13B,route_only_compound,11,1000,1000,37.4335550830001,7500551,3a64847bafeb6a9fc7013acf975243c0d07d71ab57f1874f42152993bdf48e7c,True,True,600,600,7506000,7506000,True,279,152,0,0,0,0,0,666456,325900,274,33,24096,23508,0.3610778796719387
PR13B,full_customer_compound,11,1000,1000,169.07095912500517,7444126,02342491ee3ce1e5652dbcc2258f7e9c01860011c20a05b12fe7cdb78a7f13de,True,True,600,600,7506000,7506000,True,302,305,302,3732283,3731537,166,166,26302458,199608619,224,38,12214840,13045226,133.11241767497268
PR14A,copied_loop,11,1000,1000,43.40448683302384,11613372,429441b80ab51acf7611f7d5271f49cda4225f17f05d38f36c0b5868bfdeada1,True,True,720,720,9408000,9408000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR14A,route_only_compound,11,1000,1000,56.75697595800739,11608465,ec457cd7318954bddf7857361b344a042cd79fcc91aa3d49732271485d24c508,True,True,720,720,9408000,9408000,True,231,181,0,0,0,0,0,1059060,272728,421,1,33064,22676,0.4177625774173066
PR14A,full_customer_compound,11,1000,1000,275.4727843750152,11681826,fd85ce8d1aa3f328521119b0f905468e989947cbd971e91093d5c868056e6447,True,True,720,720,9408000,9408000,True,269,310,269,5125791,5124917,126,126,40073339,264139676,414,0,18600025,19742578,222.93656452809228
PR14B,copied_loop,11,1000,1000,39.65797970799031,9049616,80bd621e726a02f89195efcd79f2a420a0778d786471b97ca061cc117f573341,True,True,720,720,9354000,9354000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR14B,route_only_compound,11,1000,1000,51.23776687501231,9089668,1129b5896ec51d970b21bfeba047e5a4ee474e85fc50b9915625313805ff01f3,True,True,720,720,9354000,9354000,True,310,139,0,0,0,0,0,1132336,355344,246,66,39892,26716,0.5505006706807762
PR14B,full_customer_compound,11,1000,1000,206.76299175003078,9046370,1c6778f16bc28d719217167d5ea5e2acf1f6bebac018f7eeb9bc10a47e1ba7d1,True,True,720,720,9354000,9354000,True,239,253,239,3921124,3920479,120,120,25344301,181618332,248,43,11657101,12449888,149.5037717751693
PR15A,copied_loop,11,1000,1000,64.45779741596198,13500629,938e4e28d09015f5b3f7f0ce10b314d5c6d39657041805a35e2344fe8bcd1b32,True,True,840,840,10996000,10996000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR15A,route_only_compound,11,1000,1000,72.41446795797674,13569331,4767732a5f3cb3525b556b1efee27bc9023e9407f5268f3ec3817916e0b76c5d,True,True,840,840,10996000,10996000,True,245,186,0,0,0,0,0,1553200,356952,476,0,39856,30744,0.5660432901931927
PR15A,full_customer_compound,11,1000,1000,258.7645972080063,13532777,1ef01314599f92ca2deb4c93bd0deb840fbd45ae0c04990acfcb91b99fe581f2,True,True,840,840,10996000,10996000,True,228,300,228,4013506,4013046,136,136,31025421,192460200,398,0,13992953,14823520,190.22577594721224
