path	declared_identity	provenance_status	upstream_url	version_or_commit	license	byte_status	evidence
third_party/harvested_materials/01_multidepot/02_heterogeneous_fleet/vroom/ORIGIN.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	TRACKED_BYTES_UNVERIFIED	No per-file upstream byte proof completed in W0.2; retained as UNKNOWN
third_party/harvested_materials/01_multidepot/02_heterogeneous_fleet/vroom/SHA256SUMS	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	TRACKED_BYTES_UNVERIFIED	No per-file upstream byte proof completed in W0.2; retained as UNKNOWN
third_party/harvested_materials/01_multidepot/02_heterogeneous_fleet/vroom/upstream/LICENSE	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/01_multidepot/02_heterogeneous_fleet/vroom/upstream/README.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/01_multidepot/02_heterogeneous_fleet/vroom/upstream/docs/API.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/01_multidepot/02_heterogeneous_fleet/vroom/upstream/src/structures/vroom/vehicle.cpp	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/01_multidepot/02_heterogeneous_fleet/vroom/upstream/src/structures/vroom/vehicle.h	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/02_heterogeneous_fleet/jsprit/ORIGIN.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	TRACKED_BYTES_UNVERIFIED	No per-file upstream byte proof completed in W0.2; retained as UNKNOWN
third_party/harvested_materials/02_heterogeneous_fleet/jsprit/SHA256SUMS	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	TRACKED_BYTES_UNVERIFIED	No per-file upstream byte proof completed in W0.2; retained as UNKNOWN
third_party/harvested_materials/02_heterogeneous_fleet/jsprit/upstream/LICENSE.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/02_heterogeneous_fleet/jsprit/upstream/README.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/02_heterogeneous_fleet/jsprit/upstream/docs/Heterogeneous-Fleet.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/02_heterogeneous_fleet/jsprit/upstream/jsprit-core/src/main/java/com/graphhopper/jsprit/core/problem/vehicle/VehicleTypeImpl.java	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/03_multitrip/DominikLindorfer_design_notes.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	TRACKED_BYTES_UNVERIFIED	No per-file upstream byte proof completed in W0.2; retained as UNKNOWN
third_party/harvested_materials/04_ev_charging/frvcpy_2020_1035/ORIGIN.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	TRACKED_BYTES_UNVERIFIED	No per-file upstream byte proof completed in W0.2; retained as UNKNOWN
third_party/harvested_materials/04_ev_charging/frvcpy_2020_1035/SHA256SUMS	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	TRACKED_BYTES_UNVERIFIED	No per-file upstream byte proof completed in W0.2; retained as UNKNOWN
third_party/harvested_materials/04_ev_charging/frvcpy_2020_1035/upstream/LICENSE	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/04_ev_charging/frvcpy_2020_1035/upstream/README.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/04_ev_charging/frvcpy_2020_1035/upstream/scripts/frvcpy-example.py	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/04_ev_charging/frvcpy_2020_1035/upstream/src/frvcpy/algorithm.py	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/04_ev_charging/frvcpy_2020_1035/upstream/src/frvcpy/core.py	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/04_ev_charging/frvcpy_2020_1035/upstream/src/frvcpy/solver.py	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/04_ev_charging/frvcpy_2020_1035/upstream/src/frvcpy/test/__init__.py	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/04_ev_charging/frvcpy_2020_1035/upstream/src/frvcpy/test/test.py	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/04_ev_charging/frvcpy_2020_1035/upstream/src/frvcpy/translator.py	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/05_time_varying/carbon_aware_computing/ORIGIN.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	TRACKED_BYTES_UNVERIFIED	No per-file upstream byte proof completed in W0.2; retained as UNKNOWN
third_party/harvested_materials/05_time_varying/carbon_aware_computing/SHA256SUMS	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	TRACKED_BYTES_UNVERIFIED	No per-file upstream byte proof completed in W0.2; retained as UNKNOWN
third_party/harvested_materials/05_time_varying/carbon_aware_computing/upstream/LICENSE	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/05_time_varying/carbon_aware_computing/upstream/README.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/05_time_varying/carbon_aware_computing/upstream/src/CarbonAwareComputing.ForecastUpdater/UKNationalGrid/UKNationalGridRoot.cs	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/05_time_varying/carbon_aware_computing/upstream/src/CarbonAwareComputing.GridCarbonIntensity.Function/GridCarbonIntensityFunction.cs	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/05_time_varying/kayros/ORIGIN.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	TRACKED_BYTES_UNVERIFIED	No per-file upstream byte proof completed in W0.2; retained as UNKNOWN
third_party/harvested_materials/05_time_varying/kayros/SHA256SUMS	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	TRACKED_BYTES_UNVERIFIED	No per-file upstream byte proof completed in W0.2; retained as UNKNOWN
third_party/harvested_materials/05_time_varying/kayros/upstream/CITATION.cff	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/05_time_varying/kayros/upstream/LICENSE	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/05_time_varying/kayros/upstream/README.md	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
third_party/harvested_materials/05_time_varying/kayros/upstream/cpp/core/instance.h	PROJECT_DOMAIN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UPSTREAM_CANDIDATE_NOT_BYTE_VERIFIED	Directory label is not provenance proof; per-file verification deferred
